Binary representation,Error,Features selected,Lookup value,Penalty factor
1000000000000000,0.9263333333333333,"(0,)",1.0513333333333335,0.125
0100000000000000,0.9555,"(1,)",1.0805,0.125
0010000000000000,0.924,"(2,)",1.049,0.125
0001000000000000,0.9498333333333333,"(3,)",1.0748333333333333,0.125
0000100000000000,0.9345,"(4,)",1.0594999999999999,0.125
0000010000000000,0.8693333333333333,"(5,)",0.9943333333333333,0.125
0000001000000000,0.8345,"(6,)",0.9595,0.125
0000000100000000,0.8546666666666667,"(7,)",0.9796666666666667,0.125
0000000010000000,0.8643333333333334,"(8,)",0.9893333333333334,0.125
0000000001000000,0.8674999999999999,"(9,)",0.9924999999999999,0.125
0000000000100000,0.8288333333333333,"(10,)",0.9538333333333333,0.125
0000000000010000,0.8398333333333333,"(11,)",0.9648333333333333,0.125
0000000000001000,0.8228333333333333,"(12,)",0.9478333333333333,0.125
0000000000000100,0.8296666666666667,"(13,)",0.9546666666666667,0.125
0000000000000010,0.8698333333333333,"(14,)",0.9948333333333333,0.125
0000000000000001,0.886,"(15,)",1.0110000000000001,0.125
1100000000000000,0.909,"(0, 1)",1.159,0.125
1010000000000000,0.8856666666666667,"(0, 2)",1.1356666666666668,0.125
1001000000000000,0.9096666666666666,"(0, 3)",1.1596666666666666,0.125
1000100000000000,0.8976666666666666,"(0, 4)",1.1476666666666666,0.125
1000010000000000,0.8358333333333333,"(0, 5)",1.0858333333333334,0.125
1000001000000000,0.8038333333333334,"(0, 6)",1.0538333333333334,0.125
1000000100000000,0.8203333333333334,"(0, 7)",1.0703333333333334,0.125
1000000010000000,0.8223333333333334,"(0, 8)",1.0723333333333334,0.125
1000000001000000,0.8313333333333334,"(0, 9)",1.0813333333333333,0.125
1000000000100000,0.7913333333333333,"(0, 10)",1.0413333333333332,0.125
1000000000010000,0.8033333333333333,"(0, 11)",1.0533333333333332,0.125
1000000000001000,0.8001666666666667,"(0, 12)",1.0501666666666667,0.125
1000000000000100,0.7996666666666666,"(0, 13)",1.0496666666666665,0.125
1000000000000010,0.819,"(0, 14)",1.069,0.125
1000000000000001,0.8528333333333333,"(0, 15)",1.1028333333333333,0.125
0110000000000000,0.9088333333333334,"(1, 2)",1.1588333333333334,0.125
0101000000000000,0.9305,"(1, 3)",1.1804999999999999,0.125
0100100000000000,0.9051666666666667,"(1, 4)",1.1551666666666667,0.125
0100010000000000,0.8608333333333333,"(1, 5)",1.1108333333333333,0.125
0100001000000000,0.8315,"(1, 6)",1.0815000000000001,0.125
0100000100000000,0.8463333333333334,"(1, 7)",1.0963333333333334,0.125
0100000010000000,0.8533333333333333,"(1, 8)",1.1033333333333333,0.125
0100000001000000,0.8603333333333334,"(1, 9)",1.1103333333333334,0.125
0100000000100000,0.8240000000000001,"(1, 10)",1.074,0.125
0100000000010000,0.8306666666666667,"(1, 11)",1.0806666666666667,0.125
0100000000001000,0.8160000000000001,"(1, 12)",1.066,0.125
0100000000000100,0.8213333333333334,"(1, 13)",1.0713333333333335,0.125
0100000000000010,0.8466666666666667,"(1, 14)",1.0966666666666667,0.125
0100000000000001,0.8833333333333333,"(1, 15)",1.1333333333333333,0.125
0011000000000000,0.8983333333333333,"(2, 3)",1.1483333333333334,0.125
0010100000000000,0.8921666666666667,"(2, 4)",1.1421666666666668,0.125
0010010000000000,0.8291666666666666,"(2, 5)",1.0791666666666666,0.125
0010001000000000,0.7958333333333334,"(2, 6)",1.0458333333333334,0.125
0010000100000000,0.8075,"(2, 7)",1.0575,0.125
0010000010000000,0.8006666666666666,"(2, 8)",1.0506666666666666,0.125
0010000001000000,0.8146666666666667,"(2, 9)",1.0646666666666667,0.125
0010000000100000,0.7918333333333334,"(2, 10)",1.0418333333333334,0.125
0010000000010000,0.8048333333333333,"(2, 11)",1.0548333333333333,0.125
0010000000001000,0.8025,"(2, 12)",1.0525,0.125
0010000000000100,0.7931666666666667,"(2, 13)",1.0431666666666666,0.125
0010000000000010,0.8003333333333333,"(2, 14)",1.0503333333333333,0.125
0010000000000001,0.8506666666666667,"(2, 15)",1.1006666666666667,0.125
